cell,iteration,model_id,status,runtime,area,delay,total_power,et,labeling_time,subgraph_extraction,subgraph_inputs,subgraph_outputs,subxpat_phase1,subxpat_phase2
"(2, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,1.1129131317138672
"(2, 2)",13,0,SAT,,99.4916,0.291138708591,5.445927672554e-05,32,-1,1.1809442043304443,4,2,-1,-1,3.3900907039642334
"(2, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,1.6521098613739014
"(3, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,5.127204895019531
"(3, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.2793307304382324
"(3, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,2.8321845531463623
"(3, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,3.0965981483459473
"(3, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,1.4442253112792969
"(3, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.6534199714660645
"(3, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.8623521327972412
"(3, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,4.444449424743652
"(4, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,6.301364898681641
"(4, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,4.716731309890747
"(4, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.4700915813446045
"(4, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,12.262858152389526
"(4, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,9.055948495864868
"(4, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,1.671757459640503
"(4, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,2.7294678688049316
"(4, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.9956448078155518
"(5, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,5.64911413192749
"(5, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,4.500813245773315
"(5, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.4556281566619873
"(5, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,12.358365535736084
"(5, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,8.81716275215149
"(5, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,1.6116580963134766
"(5, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,2.641157865524292
"(5, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.995701789855957
"(6, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,6.334956884384155
"(6, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,4.426113128662109
"(6, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.5626418590545654
"(6, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,12.323996305465698
"(6, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,7.867091417312622
"(6, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,1.6006896495819092
"(6, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,2.366708517074585
"(6, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,1.0193042755126953
"(7, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,6.001296281814575
"(7, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,5.141253471374512
"(7, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.4590957164764404
"(7, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,11.24679183959961
"(7, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,8.128679275512695
"(7, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,1.6265487670898438
"(7, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,2.4339230060577393
"(7, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.9802334308624268
"(8, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,5.290485620498657
"(8, 2)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,5.009286403656006
"(8, 2)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.46284818649292
"(8, 2)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,10.550563335418701
"(8, 2)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,7.7265143394470215
"(8, 2)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,1.7321786880493164
"(8, 2)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,2.4136762619018555
"(8, 2)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.9740695953369141
"(1, 3)",3,0,SAT,,161.4392,0.52385443449,5.615767076961e-05,28,-1,2.4032795429229736,4,2,-1,-1,4.8389976024627686
"(1, 3)",4,0,SAT,,162.3778,0.521738946438,5.555878306041e-05,22,-1,2.2934675216674805,4,2,-1,-1,5.028237819671631
"(1, 3)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.342468023300171
"(1, 3)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.8966553211212158
"(1, 3)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.8412480354309082
"(1, 3)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.9728670120239258
"(1, 3)",12,0,SAT,,102.7767,0.26643756032,5.183694884181e-05,32,-1,1.6480717658996582,4,2,-1,-1,1.561255931854248
"(1, 3)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.6423132419586182
"(2, 3)",5,0,SAT,,162.3778,0.521738946438,5.555878306041e-05,22,-1,2.21925687789917,4,1,-1,-1,2.2763659954071045
"(2, 3)",7,0,SAT,,128.5882,0.46002176404,5.981702634017e-05,33,-1,1.857712984085083,4,2,-1,-1,1.667494535446167
"(2, 3)",8,0,SAT,,129.0575,0.431726455688,5.237706500338e-05,28,-1,1.9346847534179688,4,2,-1,-1,1.6872282028198242
"(2, 3)",11,0,SAT,,121.0794,0.307396769524,5.869850429008e-05,30,-1,1.5228307247161865,4,2,-1,-1,2.48294734954834
"(2, 3)",14,0,SAT,,90.5749,0.247263997793,4.468152474146e-05,36,-1,0.9961094856262207,4,2,-1,-1,0.9006643295288086
